EC_key	rows	file
2.1.1.235	1	MT_uniprot_EC_2.1.1.235.tsv
2.1.1.237	1	MT_uniprot_EC_2.1.1.237.tsv
2.1.1.238	1	MT_uniprot_EC_2.1.1.238.tsv
2.1.1.239	1	MT_uniprot_EC_2.1.1.239.tsv
2.1.1.240	1	MT_uniprot_EC_2.1.1.240.tsv
2.1.1.241	1	MT_uniprot_EC_2.1.1.241.tsv
2.1.1.254	1	MT_uniprot_EC_2.1.1.254.tsv
2.1.1.260	1	MT_uniprot_EC_2.1.1.260.tsv
2.1.1.263	1	MT_uniprot_EC_2.1.1.263.tsv
2.1.1.265	1	MT_uniprot_EC_2.1.1.265.tsv
2.1.1.268	1	MT_uniprot_EC_2.1.1.268.tsv
2.1.1.272	1	MT_uniprot_EC_2.1.1.272.tsv
2.1.1.275	1	MT_uniprot_EC_2.1.1.275.tsv
2.1.1.276	1	MT_uniprot_EC_2.1.1.276.tsv
2.1.1.279	1	MT_uniprot_EC_2.1.1.279.tsv
2.1.1.281	1	MT_uniprot_EC_2.1.1.281.tsv
2.1.1.284	1	MT_uniprot_EC_2.1.1.284.tsv
2.1.1.285	1	MT_uniprot_EC_2.1.1.285.tsv
2.1.1.286	1	MT_uniprot_EC_2.1.1.286.tsv
2.1.1.291	1	MT_uniprot_EC_2.1.1.291.tsv
2.1.1.300	1	MT_uniprot_EC_2.1.1.300.tsv
2.1.1.301	1	MT_uniprot_EC_2.1.1.301.tsv
2.1.1.302	1	MT_uniprot_EC_2.1.1.302.tsv
2.1.1.303	1	MT_uniprot_EC_2.1.1.303.tsv
2.1.1.304	1	MT_uniprot_EC_2.1.1.304.tsv
2.1.1.305	1	MT_uniprot_EC_2.1.1.305.tsv
2.1.1.306	1	MT_uniprot_EC_2.1.1.306.tsv
2.1.1.307	1	MT_uniprot_EC_2.1.1.307.tsv
2.1.1.308	1	MT_uniprot_EC_2.1.1.308.tsv
2.1.1.310	1	MT_uniprot_EC_2.1.1.310.tsv
2.1.1.311	1	MT_uniprot_EC_2.1.1.311.tsv
